REGIONID,CONSTELLATIONID,SOLARSYSTEMID,SOLARSYSTEMNAME,X,Y,Z,XMIN,XMAX,YMIN,YMAX,ZMIN,ZMAX,LUMINOSITY,BORDER,FRINGE,CORRIDOR,HUB,INTERNATIONAL,REGIONAL,CONSTELLATION,SECURITY,FACTIONID,RADIUS,SUNTYPEID,SECURITYCLASS
10000001,20000001,30000001,Tanoo,-88510792599980600,42369443966878900,-44513525346479700,-88511903148490600,-88509256471760600,42369297927489100,42369645749263900,44513036355892800,44514111689782900,0.01575,1,0,0,1,1,1,1,0.8583240688,,1323338364984,3802,B
10000001,20000001,30000002,Lashesih,-103300968263126000,41707503568269900,-29856304129795100,-103301565089828000,-103299528289840000,41707467566727800,41707590413426600,29856173282507000,29856912011988000,0.01282,1,0,1,0,1,1,1,0.7516891467,,1018399993728,3798,B
10000001,20000001,30000003,Akpivem,-91174141133075300,43938227486247200,-56482824383339900,-91178287363603500,-91173340638605200,43938185719395300,43938444193380400,56481267537910500,56483655715390500,0.6213,1,0,0,1,0,0,1,0.8462923524,,2473362499136,3799,B
10000001,20000001,30000004,Jark,-93675926352178900,50604244962328900,-28403529106921700,-93677382085044700,-93675486150896600,50604201734808700,50604387914744900,28403308300704900,28406851125344300,0.3461,1,0,1,0,1,1,1,0.8170005312,,1771412319698,6,B
10000001,20000001,30000005,Sasta,-94782157961997600,43126247352903300,-31896707679918000,-94782866241535500,-94777738348823700,43126190605720800,43126597636738800,31892607357474000,31896947011689000,0.02403,1,0,0,1,0,0,1,0.8143367281,,2563946355912,3800,B
10000001,20000001,30000006,Zaid,-84792151138856200,52313455798179300,-57073934529882300,-84793773315320000,-84790304431444100,52313243548626300,52313642323674000,57073253488129400,57075591223245900,0.02324,1,0,1,0,0,0,1,0.8642291534,,1734441937976,7,B
10000001,20000001,30000007,Yuzier,-90367509013110200,53447700930943300,-49040399037769900,-90368455589897700,-90365860977341600,53447587319198300,53447898494476100,49039836463312800,49040669843783000,0.01469,0,0,0,1,0,0,0,0.9065555105,,1297306278056,3800,B
10000001,20000001,30000008,Nirbhi,-91576103536388500,57332802739327800,-55255057964526300,-91579534302267700,-91574341925251100,57332775890501900,57332816522733900,55252219447897200,55259653044695500,0.03981,1,0,0,1,0,0,1,0.8821157148,,3716798399124,3800,B
10000001,20000002,30000009,Sooma,-84094731140215200,69205928804160700,-75226052138828800,-84095782483213100,-84092995295928100,69205920050711700,69205943271846100,75225464050781500,75229135709334900,0.01479,0,1,0,0,0,0,0,0.5778194816,,1835829276688,3800,B1
10000001,20000002,30000010,Chidah,-80588856520120700,61645557287376800,-79770931668461900,-80590207811444200,-80584539285184900,61645378830638600,61646127437224000,79769194381150500,79772810227654800,0.07498,0,0,0,1,0,0,0,0.539052013,,2834263129672,8,B1
10000001,20000002,30000011,Shenela,-69575463334855200,57122325440514700,-80659835202844600,-69575636549884600,-69574314401968300,57122244402671000,57122337658314500,80657805639471100,80660396791719700,0.0138,1,0,1,0,0,0,1,0.4569593547,,1295576124296,3800,B1
10000001,20000002,30000012,Asabona,-88787078299773200,57530354513983700,-96309075103911500,-88791397390007200,-88786201909693400,57530255526273200,57530842192169500,96307390631301800,96313541534761100,0.7113,1,0,1,0,0,0,1,0.3228842725,,3075451729664,3799,B2
10000001,20000002,30000013,Onsooh,-81778742628362100,60252693661956900,-86635426626176700,-81778794870618000,-81775151649602800,60252536029999900,60252695963483300,86629107367242600,86636044338568900,0.9844,0,0,0,1,0,0,0,0.4428166329,,3468485663152,6,B2
10000001,20000002,30000014,Shamahi,-77750709738421100,71722533435110300,-87922010890003900,-77752375313506200,-77748220595916900,71722505254969400,71722575240330400,87919461416316100,87928237639952400,0.569,1,0,0,1,0,0,1,0.3552422911,,4388111818136,3797,B2
10000001,20000002,30000015,Sendaya,-75035885475239800,47720998612000000,-95172408294045200,-75036302944088900,-75034909947497000,47720939042647100,47721024107019200,95169889007283400,95175559279052900,0.08104,1,0,0,1,0,0,1,0.2939329721,,2835135884784,3798,B2
10000001,20000002,30000016,Nazhgete,-83631155296696900,63723785397160300,-89813789948513900,-83631552142160000,-83628790224378300,63723771871163700,63723864808341900,89813616892692800,89816445093532000,0.01396,0,1,0,0,0,0,0,0.3914970557,,1414100419584,3800,B2
10000001,20000003,30000017,Futzchag,-64098583968529500,41271973465565200,-101139230377519000,-64100883467061800,-64092617515336900,41271618432199800,41272899328770100,101138522286681000,101143066585587000,0.7871,0,0,0,1,0,0,0,0.1722285598,,4132975862416,3801,B3
10000001,20000003,30000018,Kazna,-70142424691246300,38488582153190400,-96720410106924400,-70146352582011000,-70141340342553200,38488413727223500,38489192249684300,96717292294777400,96720853302116000,1.501,1,0,0,1,0,0,1,0.231262625,,2506119728892,3799,B3
10000001,20000003,30000019,Podion,-58709857801616300,26044509386392200,-101528995159068000,-58710367381959100,-58709380756752800,26044417015128700,26044595861270300,101527134943693000,101532375865627000,0.07842,0,1,0,0,0,0,0,0.1097049726,,2620460967184,3798,B3
10000001,20000003,30000020,Lilmad,-72855380319923900,52909926114435800,-108165273935480000,-72858106676096200,-72847571590350300,52908524213109700,52910418067027800,108164428690670000,108170125189104000,1.172,0,1,0,0,0,0,0,0.1604491933,,5267542872992,3797,B3
